?	liquid	tnk_failure_pressure	liquid_ratio	tnk_width	tnk_length	tnk_height	BLEVE_height	vapour_temperature	liquid_temperature	status	gas_height	sensor_dist
G106	1	9.9	0.1835418	2.8	8.4	1.6	0.8	420.4	307.7	1	1.4	18
G107	1	9.9	0.1835418	2.8	8.4	1.6	0.8	420.4	307.7	1	1.4	19
G108	1	9.9	0.1835418	2.8	8.4	1.6	0.8	420.4	307.7	1	1.4	20
G109	1	9.9	0.1835418	2.8	8.4	1.6	0.8	420.4	307.7	1	1.4	21
G110	1	9.9	0.1835418	2.8	8.4	1.6	0.8	420.4	307.7	1	1.4	22
G111	1	9.9	0.1835418	2.8	8.4	1.6	0.8	420.4	307.7	1	1.4	23
G112	1	9.9	0.1835418	2.8	8.4	1.6	0.8	420.4	307.7	1	1.4	24
G113	1	9.9	0.1835418	2.8	8.4	1.6	0.8	420.4	307.7	1	1.4	25
G114	1	9.9	0.1835418	2.8	8.4	1.6	0.8	420.4	307.7	1	1.4	26
G115	1	9.9	0.1835418	2.8	8.4	1.6	0.8	420.4	307.7	1	1.4	27
G116	1	9.9	0.1835418	2.8	8.4	1.6	0.8	420.4	307.7	1	1.4	28
G117	1	9.9	0.1835418	2.8	8.4	1.6	0.8	420.4	307.7	1	1.4	29
G118	1	9.9	0.1835418	2.8	8.4	1.6	0.8	420.4	307.7	1	1.4	30
G119	1	9.9	0.1835418	2.8	8.4	1.6	0.8	420.4	307.7	1	1.4	31
G120	1	9.9	0.1835418	2.8	8.4	1.6	0.8	420.4	307.7	1	1.4	32
G121	1	9.9	0.1835418	2.8	8.4	1.6	0.8	420.4	307.7	1	1.4	33
G122	1	9.9	0.1835418	2.8	8.4	1.6	0.8	420.4	307.7	1	1.4	34
G123	1	9.9	0.1835418	2.8	8.4	1.6	0.8	420.4	307.7	1	1.4	35
G124	1	9.9	0.1835418	2.8	8.4	1.6	0.8	420.4	307.7	1	1.4	36
G125	1	9.9	0.1835418	2.8	8.4	1.6	0.8	420.4	307.7	1	1.4	37
G126	1	9.9	0.1835418	2.8	8.4	1.6	0.8	420.4	307.7	1	1.4	38
G127	1	9.9	0.1835418	2.8	8.4	1.6	0.8	420.4	307.7	1	1.4	39
G128	1	9.9	0.1835418	2.8	8.4	1.6	0.8	420.4	307.7	1	1.4	40
G129	1	9.9	0.1835418	2.8	8.4	1.6	0.8	420.4	307.7	1	1.4	41
G130	1	9.9	0.1835418	2.8	8.4	1.6	0.8	420.4	307.7	1	1.4	42
G131	1	9.9	0.1835418	2.8	8.4	1.6	0.8	420.4	307.7	1	1.4	43
G132	1	9.9	0.1835418	2.8	8.4	1.6	0.8	420.4	307.7	1	1.4	44
G133	1	9.9	0.1835418	2.8	8.4	1.6	0.8	420.4	307.7	1	1.4	45
G134	1	9.9	0.1835418	2.8	8.4	1.6	0.8	420.4	307.7	1	1.4	46
G135	1	9.9	0.1835418	2.8	8.4	1.6	0.8	420.4	307.7	1	1.4	47
G136	1	9.9	0.1835418	2.8	8.4	1.6	0.8	420.4	307.7	1	1.4	48
G137	1	9.9	0.1835418	2.8	8.4	1.6	0.8	420.4	307.7	1	1.4	49
G138	1	9.9	0.1835418	2.8	8.4	1.6	0.8	420.4	307.7	1	1.4	50
G139	1	21	0.4289734	1	6	0.4	1.6	302.8	320.4	1	0.2	5
G140	1	21	0.4289734	1	6	0.4	1.6	302.8	320.4	1	0.2	6
G141	1	21	0.4289734	1	6	0.4	1.6	302.8	320.4	1	0.2	7
G142	1	21	0.4289734	1	6	0.4	1.6	302.8	320.4	1	0.2	8
G143	1	21	0.4289734	1	6	0.4	1.6	302.8	320.4	1	0.2	9
G144	1	21	0.4289734	1	6	0.4	1.6	302.8	320.4	1	0.2	10
G145	1	21	0.4289734	1	6	0.4	1.6	302.8	320.4	1	0.2	11
G146	1	21	0.4289734	1	6	0.4	1.6	302.8	320.4	1	0.2	12
G147	1	21	0.4289734	1	6	0.4	1.6	302.8	320.4	1	0.2	13
G148	1	21	0.4289734	1	6	0.4	1.6	302.8	320.4	1	0.2	14
G149	1	21	0.4289734	1	6	0.4	1.6	302.8	320.4	1	0.2	15
G150	1	21	0.4289734	1	6	0.4	1.6	302.8	320.4	1	0.2	16
G151	1	21	0.4289734	1	6	0.4	1.6	302.8	320.4	1	0.2	17
G152	1	21	0.4289734	1	6	0.4	1.6	302.8	320.4	1	0.2	18
G153	1	21	0.4289734	1	6	0.4	1.6	302.8	320.4	1	0.2	19
G154	1	21	0.4289734	1	6	0.4	1.6	302.8	320.4	1	0.2	20
G155	1	21	0.4289734	1	6	0.4	1.6	302.8	320.4	1	0.2	21
G156	1	21	0.4289734	1	6	0.4	1.6	302.8	320.4	1	0.2	22
G157	1	21	0.4289734	1	6	0.4	1.6	302.8	320.4	1	0.2	23
G158	1	21	0.4289734	1	6	0.4	1.6	302.8	320.4	1	0.2	24
G159	1	21	0.4289734	1	6	0.4	1.6	302.8	320.4	1	0.2	25
G160	1	21	0.4289734	1	6	0.4	1.6	302.8	320.4	1	0.2	26
G161	1	21	0.4289734	1	6	0.4	1.6	302.8	320.4	1	0.2	27
G162	1	21	0.4289734	1	6	0.4	1.6	302.8	320.4	1	0.2	28
G163	1	21	0.4289734	1	6	0.4	1.6	302.8	320.4	1	0.2	29
G164	1	21	0.4289734	1	6	0.4	1.6	302.8	320.4	1	0.2	30
G165	1	21	0.4289734	1	6	0.4	1.6	302.8	320.4	1	0.2	31
G166	1	21	0.4289734	1	6	0.4	1.6	302.8	320.4	1	0.2	32
G167	1	21	0.4289734	1	6	0.4	1.6	302.8	320.4	1	0.2	33
G168	1	21	0.4289734	1	6	0.4	1.6	302.8	320.4	1	0.2	34
G169	1	21	0.4289734	1	6	0.4	1.6	302.8	320.4	1	0.2	35
G170	1	21	0.4289734	1	6	0.4	1.6	302.8	320.4	1	0.2	36
G171	1	21	0.4289734	1	6	0.4	1.6	302.8	320.4	1	0.2	37
G172	1	21	0.4289734	1	6	0.4	1.6	302.8	320.4	1	0.2	38
G173	1	21	0.4289734	1	6	0.4	1.6	302.8	320.4	1	0.2	39
G174	1	21	0.4289734	1	6	0.4	1.6	302.8	320.4	1	0.2	40
